Country,anchor_year,forecast_year_plus1,pred_rf_plus1,forecast_year_plus5,pred_rf_plus5,forecast_year_plus10,pred_rf_plus10
French Guiana,2017,2018,0.08358637661451875,2022,0.08234822339756928,2027,0.10767239051862185
French Polynesia,2017,2018,0.07453806626225716,2022,0.0830108165117821,2027,0.13189936171592254
Gabon,2017,2018,0.09113297543350277,2022,0.1272148174927305,2027,0.21227844568718782
Gambia,2017,2018,0.12609613815093035,2022,0.19303169676370868,2027,0.19545211291103032
Georgia,2017,2018,0.8288620187748037,2022,0.9865764351083657,2027,1.234373791236171
Germany,2017,2018,28.056597137138752,2022,18.93025188153485,2027,26.195164929624518
Ghana,2017,2018,0.7785974274900016,2022,0.9380579716994715,2027,2.1084436931259076
Greece,2017,2018,14.32266266074578,2022,12.371966389306078,2027,14.49681360650931
Grenada,2017,2018,0.05746316969754263,2022,0.05267631035486452,2027,0.080618420580299
Guadeloupe,2017,2018,0.06009421401047974,2022,0.07474973151895921,2027,0.10505984784801246
Guatemala,2017,2018,0.19046246950149417,2022,0.32359934785793676,2027,0.9988321672752505
Guinea,2017,2018,0.49550328357826373,2022,0.7617415348243988,2027,1.213224430959464
Guinea-Bissau,2017,2018,0.2370373689691643,2022,0.2474656368112465,2027,0.21858523884613318
Guyana,2017,2018,0.2932620785698822,2022,0.369946667487757,2027,0.2723029523591003
Haiti,2017,2018,0.3876385567936021,2022,0.5021985552667962,2027,0.6170760407105467
Honduras,2017,2018,0.7586767324188286,2022,0.6596726905784887,2027,1.609436294045517
Hong Kong,2017,2018,0.28739433568637285,2022,0.44048822082830996,2027,0.7401551021876103
Hungary,2017,2018,0.37607698319152966,2022,0.5274009166890514,2027,0.8437767506450997
Iceland,2017,2018,0.14785541904694474,2022,0.2084680247054841,2027,0.41969973844261615
India,2017,2018,65.81661467138882,2022,129.74869410987526,2027,117.33794768188667
Indonesia,2017,2018,9.93233890392826,2022,10.553151807705902,2027,19.31868061692332
International,2017,2018,0.06886133902211632,2022,0.06816648895881137,2027,0.23178637327311563
Iran,2017,2018,10.440304717152063,2022,15.875457293472017,2027,36.73534026853897
Iraq,2017,2018,80.89051932759129,2022,67.75997860953105,2027,69.00430277559946
Ireland,2017,2018,8.440253771586995,2022,5.847131453523613,2027,7.307323055936752
Israel,2017,2018,25.953637509187352,2022,22.67212961383287,2027,33.83774493632396
Italy,2017,2018,5.710106414510283,2022,4.824976205470399,2027,9.5791368810901
Ivory Coast,2017,2018,0.806706611659787,2022,0.9811030285574889,2027,2.4969121317432603
Jamaica,2017,2018,0.21627396768624382,2022,0.30762836030869123,2027,0.5532702406883676
Japan,2017,2018,3.571099355728757,2022,2.5053886415672504,2027,5.2099304353118185
Jordan,2017,2018,4.631591104969153,2022,5.265911302853447,2027,8.486963440237316
Kazakhstan,2017,2018,0.5073220689250115,2022,0.7235388691183835,2027,1.1411762257840858
Kenya,2017,2018,30.15952932719758,2022,26.073862118949272,2027,29.238694456974493
Kosovo,2017,2018,2.1607239084371224,2022,1.1317327346286343,2027,1.2509210561091555
Kuwait,2017,2018,0.5517962674917447,2022,0.5044515942367942,2027,1.5797834229523313
Kyrgyzstan,2017,2018,1.3392589789575045,2022,1.2688358680189467,2027,1.3661671311649064
Laos,2017,2018,0.9217231877240208,2022,1.1087472041678694,2027,1.3830757389195925
Latvia,2017,2018,0.13624547616763197,2022,0.19414517158040814,2027,0.3174712941764109
Lebanon,2017,2018,19.85431242311303,2022,19.5006800141463,2027,26.235678089178393
Lesotho,2017,2018,0.25355983213345107,2022,0.3608946645666715,2027,0.29535624522115334
Liberia,2017,2018,0.2475513804312574,2022,0.2889441522371992,2027,0.7359389506534613
Libya,2017,2018,59.4982117014099,2022,44.72296763181341,2027,34.93989913715372
Lithuania,2017,2018,0.18147468757526153,2022,0.22806752153263227,2027,0.37423157624875886
Luxembourg,2017,2018,0.10549045391769918,2022,0.13442628515735908,2027,0.36293883906901053
Macau,2017,2018,0.13999527526293729,2022,0.2183181113150063,2027,0.16674516795333802
Macedonia,2017,2018,0.7192170678673973,2022,0.3303908854707931,2027,0.7954016377573827
Madagascar,2017,2018,0.7343070799070868,2022,1.0163036435133228,2027,1.8838637644860463
Malawi,2017,2018,0.21915324822315924,2022,0.46382134584224605,2027,1.2231971905194245
Malaysia,2017,2018,5.871827409575224,2022,5.67443511177016,2027,9.819877973140132
Maldives,2017,2018,0.9389813258652058,2022,1.2873573133690153,2027,1.409168585924026
Mali,2017,2018,29.102847609289483,2022,17.649746319287626,2027,18.73934422083209
Malta,2017,2018,0.33423705666518105,2022,0.287404354748515,2027,0.5369102110537116
Martinique,2017,2018,0.06009421401047973,2022,0.07391471302361911,2027,0.10531520038565369
Mauritania,2017,2018,0.6021407333131914,2022,0.6743493990639855,2027,1.700380184480077
Mauritius,2017,2018,0.08856379495161613,2022,0.1192689543135466,2027,0.20091648499197823
Mexico,2017,2018,12.986944115660265,2022,13.636737563240358,2027,25.10042806068285
Moldova,2017,2018,0.2738616552575255,2022,0.37396493298940586,2027,0.5594221749749657
Montenegro,2017,2018,0.1946931264927828,2022,0.24157446128657933,2027,0.4587968779377114
Morocco,2017,2018,0.5405241404504859,2022,0.7793756487385914,2027,4.174249857429727
Mozambique,2017,2018,23.773347823237355,2022,12.133678560629118,2027,13.701924696988565
Myanmar,2017,2018,33.67616809429317,2022,22.12964831415504,2027,31.60246949529045
Namibia,2017,2018,0.2282137434663774,2022,0.22404856986820423,2027,0.2116869849097984
Nepal,2017,2018,29.61960446547033,2022,32.30673208880616,2027,46.07955713911734
Netherlands,2017,2018,1.2860625738186542,2022,1.2510550896194017,2027,2.4852624012830606
New Caledonia,2017,2018,0.07235971376639513,2022,0.08176970338309678,2027,0.12690740622384994
New Hebrides,2017,2018,0.07621575532824225,2022,0.09704658472601056,2027,0.15729701337839408
New Zealand,2017,2018,0.35640383172974377,2022,0.3413622672897912,2027,0.8495221661898282
Nicaragua,2017,2018,0.3282246853711727,2022,0.43261566667901924,2027,0.7571199307751748
Niger,2017,2018,9.976198807136434,2022,6.3900601576318685,2027,8.902916890514836
Nigeria,2017,2018,55.490777453075324,2022,48.362268844510844,2027,30.620809489316517
North Korea,2017,2018,0.18059079452902171,2022,0.2418833769880076,2027,0.4382509220389984
North Yemen,2017,2018,0.06886133902211633,2022,0.06816648895881139,2027,0.23178637327311563
Norway,2017,2018,0.20472473590321216,2022,0.3546694446382653,2027,0.9515053975894876
Pakistan,2017,2018,58.28452701591376,2022,96.57837360491669,2027,117.3370185874283
Panama,2017,2018,0.2749615903149084,2022,0.29835952595665366,2027,0.6392387673052125
Papua New Guinea,2017,2018,0.2623900227885175,2022,0.46990449729625805,2027,1.0305031243965703
Paraguay,2017,2018,5.7862952043051115,2022,3.9892109676202328,2027,4.799224470128888
People's Republic of the Congo,2017,2018,0.08328670939544212,2022,0.1305076031742649,2027,0.1670856709480817
Peru,2017,2018,6.232119873156185,2022,6.37689070396855,2027,6.842731172901109
Philippines,2017,2018,54.7923544116842,2022,66.86437466755267,2027,58.08927642894794
Poland,2017,2018,0.76687792625676,2022,0.6925839537207534,2027,1.5198169785276598
Portugal,2017,2018,0.3611802680600622,2022,0.46615817491786016,2027,0.929302372729222
Qatar,2017,2018,0.3702055835668495,2022,0.39393458273030196,2027,1.4133319471718737
Republic of the Congo,2017,2018,2.9467466024863924,2022,1.0512337704152501,2027,1.0334832778827687
Rhodesia,2017,2018,0.08328670939544211,2022,0.13050760317426496,2027,0.1670856709480817
Romania,2017,2018,0.19300768219014153,2022,0.38744793932520283,2027,0.7892145367427976
Russia,2017,2018,35.58066229030264,2022,30.595744118668406,2027,28.241958359920105
Rwanda,2017,2018,0.5877923046408033,2022,0.7695361697377041,2027,1.9591479816023938
Saudi Arabia,2017,2018,42.926530469039086,2022,28.4166073302327,2027,42.8781000378924
Senegal,2017,2018,0.5038442513522883,2022,0.8243325780371347,2027,1.624066374016257
Serbia,2017,2018,0.1433953835103482,2022,0.3730341768435075,2027,0.4954970879098519
Serbia-Montenegro,2017,2018,0.15420311677519377,2022,0.16535121940353445,2027,0.29838322455752125
Seychelles,2017,2018,0.06976885641156708,2022,0.08690551768482846,2027,0.1560941091367566
Sierra Leone,2017,2018,0.4496894147543732,2022,0.4267520189620618,2027,0.7195825630861572
Singapore,2017,2018,0.1710869270459612,2022,0.17550596091159543,2027,0.4241195729336554
Slovak Republic,2017,2018,0.464355061281692,2022,0.4224929089813895,2027,0.531475239363904
Slovenia,2017,2018,0.1264238481275752,2022,0.1809217101436692,2027,0.27427319128888583
Solomon Islands,2017,2018,0.07972439275326736,2022,0.11160264803168747,2027,0.14020627489207502
Somalia,2017,2018,28.63037983263467,2022,17.4867574860143,2027,13.727294389519514
South Africa,2017,2018,8.629968842360967,2022,8.723936673547458,2027,16.05592350595763
South Korea,2017,2018,0.7690452812659501,2022,0.781962344248539,2027,2.099237800866032
South Sudan,2017,2018,15.78682632790839,2022,12.966640412388593,2027,13.378472157069734
South Vietnam,2017,2018,0.06664470956662999,2022,0.06944722844377149,2027,0.11589796648080021
South Yemen,2017,2018,0.06886133902211634,2022,0.0681664889588114,2027,0.23178637327311566
