Country,mean_attacks,mean_fatalities,attack_slope,cluster
Finland,0.4166666666666667,0.22916666666666666,0.03571428571428684,3
France,56.104166666666664,11.354166666666666,-0.8668584455059205,3
French Guiana,0.14583333333333334,0.5416666666666666,-0.002116804168476155,3
French Polynesia,0.0625,0.0,0.0004884932696483756,3
Gabon,0.16666666666666666,2.6666666666666665,0.009335649153278478,3
Gambia,0.0625,6.770833333333333,0.0009227095093357076,3
Georgia,4.520833333333333,9.041666666666666,0.18253365175857827,3
Germany,15.3125,2.1041666666666665,0.44360616587061663,3
Ghana,0.3958333333333333,0.7291666666666666,0.003962223187147258,3
Greece,26.5625,6.8125,0.4788862353451962,3
Grenada,0.10416666666666667,2.4375,-0.0070017368649589315,3
Guadeloupe,1.1666666666666667,0.9166666666666666,-0.06013894919670198,3
Guatemala,42.708333333333336,109.625,-1.9876248371689718,3
Guinea,0.5208333333333334,22.229166666666668,0.018182805036908792,3
Guinea-Bissau,0.1875,0.9791666666666666,0.011886669561441809,3
Guyana,0.5416666666666666,5.333333333333333,0.0037993920972641745,3
Haiti,4.4375,8.0,0.0160117238384704,3
Honduras,6.729166666666667,10.083333333333334,-0.16961571862788585,3
Hong Kong,0.5416666666666666,0.10416666666666667,-0.0014112027789840954,3
Hungary,0.9583333333333334,0.4166666666666667,0.02225358228397664,3
Iceland,0.08333333333333333,0.0,0.002279635258358685,3
India,249.16666666666666,426.9375,16.551346070343353,1
Indonesia,15.854166666666666,26.791666666666668,0.8270191055145587,3
International,0.020833333333333332,1.0,0.000922709509335644,3
Iran,14.25,35.104166666666664,-0.37375162831090875,3
Iraq,513.25,1640.2083333333333,50.751194094660384,2
Ireland,6.395833333333333,2.5625,0.23637646547981458,3
Israel,45.479166666666664,36.291666666666664,1.2197676943117792,3
Italy,32.604166666666664,9.104166666666666,-1.9537016934434075,3
Ivory Coast,1.5416666666666667,6.125,0.11875814155449663,3
Jamaica,0.75,3.5208333333333335,-0.00911854103343523,3
Japan,8.375,1.875,-0.18302214502823258,3
Jordan,2.3541666666666665,3.625,0.004287885366916861,3
Kazakhstan,0.5625,5.5,0.036419887103778414,3
Kenya,14.229166666666666,54.0625,1.2993378202345092,3
Kosovo,4.083333333333333,15.625,0.2168910117238424,3
Kuwait,1.5833333333333333,1.7083333333333333,-0.0294181502388202,3
Kyrgyzstan,0.7291666666666666,0.22916666666666666,0.04770950933564998,3
Laos,0.5625,3.4375,0.026324359531047063,3
Latvia,0.3541666666666667,0.16666666666666666,0.0093899261832393,3
